timestamp,experiment_name,epoch,step,rank,loss,compute_iter_seconds,step_total_wall_seconds,post_compute_overhead_seconds,backward_seconds,optimizer_step_seconds,checkpoint_requested_initial,checkpoint_reason,checkpoint_requested_final,checkpoint_executed,checkpoint_skipped_by_backpressure,checkpoint_tag,durable_mode_effective,pending_durable_tag_before,pending_durable_tag_after,wait_prev_durable_triggered,wait_prev_durable_local_seconds,wait_prev_durable_window_seconds,wait_prev_durable_bp_wait_seconds,pre_ckpt_backpressure_wait_seconds,ckpt_total_seconds,ckpt_enqueue_seconds,ckpt_flush_barrier_seconds,ckpt_wait_background_seconds,ckpt_durable_local_seconds,ckpt_durable_window_seconds,cleanup_triggered_this_step,cleanup_deleted_count_this_step,cleanup_seconds_this_step,cleanup_reason_this_step,host_cache_capacity_bytes,host_cache_used_bytes_t1,host_cache_used_bytes_t2,pending_flush_bytes_t1,pending_flush_bytes_t2,flush_queue_depth_t1,flush_queue_depth_t2,process_rss_bytes_t1,process_rss_bytes_t2,process_vmlck_bytes_t1,process_vmlck_bytes_t2,auto_enabled,auto_is_profiling,auto_profiled_steps,auto_profile_steps,auto_target_overhead,auto_avg_iter_time_seconds,auto_current_freq,auto_last_ckpt_step,auto_last_eval_step,auto_last_eval_ckpt_duration_seconds,auto_last_eval_actual_interval,auto_last_eval_overhead_pct,auto_last_eval_required_interval,auto_last_eval_ckpt_equiv_iters,auto_last_eval_old_freq,auto_last_eval_new_freq,auto_last_eval_change_type
2026-03-03T21:51:46.035073,smoke,1,1,0,11.0,0.5833637714385986,0.5833702087402344,6.4373016357421875e-06,0.583327054977417,3.600120544433594e-05,0,none,0,0,0,,before_next_ckpt,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,34359738368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,0,0.0,0,0,none
2026-03-03T21:51:46.101699,smoke,1,2,0,11.0,0.062091827392578125,0.062099456787109375,7.62939453125e-06,0.06206107139587402,2.9802322387695312e-05,0,none,0,0,0,,before_next_ckpt,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,34359738368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,0,0.0,0,0,none
2026-03-03T21:51:46.175041,smoke,1,3,0,11.0,0.062285423278808594,0.06229281425476074,7.3909759521484375e-06,0.062253475189208984,3.075599670410156e-05,0,none,0,0,0,,before_next_ckpt,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,34359738368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,0,0.0,0,0,none
2026-03-03T21:51:46.247791,smoke,1,4,0,11.0,0.0614626407623291,0.061469316482543945,6.67572021484375e-06,0.06143593788146973,2.5987625122070312e-05,0,none,0,0,0,,before_next_ckpt,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,34359738368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,0,0.0,0,0,none
2026-03-03T21:51:46.320177,smoke,1,5,0,11.0,0.06102132797241211,0.061028242111206055,6.9141387939453125e-06,0.060991764068603516,2.8848648071289062e-05,0,none,0,0,0,,before_next_ckpt,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,34359738368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,0,0.0,0,0,none
2026-03-03T21:51:46.392783,smoke,1,6,0,11.0,0.06134676933288574,0.06136178970336914,1.5020370483398438e-05,0.06131863594055176,2.7418136596679688e-05,0,none,0,0,0,,before_next_ckpt,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,34359738368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,0,0.0,0,0,none
2026-03-03T21:51:46.466384,smoke,1,7,0,11.0,0.06204843521118164,0.062055349349975586,6.9141387939453125e-06,0.06201815605163574,2.9087066650390625e-05,0,none,0,0,0,,before_next_ckpt,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,34359738368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,0,0.0,0,0,none
2026-03-03T21:51:46.604416,smoke,1,8,0,11.0,0.12676429748535156,0.12677216529846191,7.867813110351562e-06,0.06169462203979492,0.06506824493408203,0,none,0,0,0,,before_next_ckpt,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,34359738368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,0,0.0,0,0,none
2026-03-03T21:51:46.713437,smoke,1,9,0,8.625,0.061319828033447266,0.06132769584655762,7.867813110351562e-06,0.06128978729248047,2.9325485229492188e-05,0,none,0,0,0,,before_next_ckpt,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,34359738368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,0,0.0,0,0,none
2026-03-03T21:51:50.663560,smoke,1,10,0,8.625,0.06190204620361328,3.9433159828186035,3.8814139366149902,0.061872243881225586,2.9087066650390625e-05,1,interval,1,1,0,step_10,before_next_ckpt,,step_10,0,0.0,0.0,0.0,0.0,3.852337598800659,3.8506393432617188,0.0016977787017822266,0.0003941059112548828,0.0,0.0,0,0,0.0,,34359738368,0,0,0,0,0,0,44212690944,44212690944,0,0,0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,0,0.0,0,0,none
